time,open,high,low,close,volume
2026-05-01 09:36:00+00:00,4599.475,4603.005,4598.685,4601.075,0
2026-05-01 09:37:00+00:00,4601.035,4605.275,4600.915,4604.295,0
2026-05-01 09:38:00+00:00,4604.295,4604.335,4600.315,4600.575,0
2026-05-01 09:39:00+00:00,4600.555,4602.885,4600.185,4602.545,0
2026-05-01 09:40:00+00:00,4602.545,4607.315,4602.465,4607.275,0
2026-05-01 09:41:00+00:00,4607.535,4608.735,4604.785,4607.085,0
2026-05-01 09:42:00+00:00,4607.575,4607.675,4603.725,4606.185,0
2026-05-01 09:43:00+00:00,4606.255,4607.075,4604.285,4604.305,0
2026-05-01 09:44:00+00:00,4604.055,4607.945,4604.025,4607.605,0
2026-05-01 09:45:00+00:00,4607.605,4609.065,4603.505,4603.855,0
2026-05-01 09:46:00+00:00,4603.805,4605.305,4602.395,4602.425,0
2026-05-01 09:47:00+00:00,4602.455,4602.865,4598.525,4598.695,0
2026-05-01 09:48:00+00:00,4598.695,4602.995,4598.695,4601.485,0
2026-05-01 09:49:00+00:00,4601.465,4602.925,4601.095,4601.175,0
2026-05-01 09:50:00+00:00,4601.165,4608.215,4599.255,4608.215,0
2026-05-01 09:51:00+00:00,4608.705,4608.758,4603.938,4607.285,0
2026-05-01 09:52:00+00:00,4607.305,4611.615,4605.985,4611.615,0
2026-05-01 09:53:00+00:00,4611.405,4615.068,4610.728,4614.675,0
2026-05-01 09:54:00+00:00,4614.935,4620.555,4613.915,4616.595,0
2026-05-01 09:55:00+00:00,4616.585,4628.465,4616.235,4625.865,0
2026-05-01 09:56:00+00:00,4626.005,4626.645,4623.955,4624.815,0
2026-05-01 09:57:00+00:00,4624.785,4626.955,4623.905,4624.355,0
2026-05-01 09:58:00+00:00,4624.375,4626.475,4621.945,4622.275,0
2026-05-01 09:59:00+00:00,4622.248,4626.145,4621.885,4623.9,0
2026-05-01 10:00:00+00:00,4624.875,4636.528,4624.095,4631.915,0
2026-05-01 10:01:00+00:00,4631.885,4637.385,4630.505,4637.345,0
2026-05-01 10:02:00+00:00,4637.325,4641.665,4635.325,4635.815,0
2026-05-01 10:03:00+00:00,4635.795,4638.805,4634.385,4638.525,0
2026-05-01 10:04:00+00:00,4638.615,4638.655,4634.025,4634.455,0
2026-05-01 10:05:00+00:00,4634.505,4637.705,4632.475,4634.655,0
2026-05-01 10:06:00+00:00,4634.635,4640.215,4632.605,4637.675,0
2026-05-01 10:07:00+00:00,4637.715,4638.005,4633.965,4634.105,0
2026-05-01 10:08:00+00:00,4634.395,4634.895,4632.845,4634.505,0
2026-05-01 10:09:00+00:00,4634.505,4636.265,4632.925,4634.435,0
2026-05-01 10:10:00+00:00,4634.415,4637.585,4634.325,4637.035,0
2026-05-01 10:11:00+00:00,4637.055,4642.855,4637.025,4641.215,0
2026-05-01 10:12:00+00:00,4641.265,4659.575,4640.855,4658.405,0
2026-05-01 10:13:00+00:00,4657.625,4659.925,4656.155,4657.315,0
2026-05-01 10:14:00+00:00,4657.345,4658.445,4653.115,4656.015,0
2026-05-01 10:15:00+00:00,4655.925,4660.065,4654.805,4655.675,0
2026-05-01 10:16:00+00:00,4655.695,4659.695,4654.895,4658.275,0
2026-05-01 10:17:00+00:00,4658.165,4658.675,4652.785,4653.445,0
2026-05-01 10:18:00+00:00,4653.425,4654.455,4650.775,4650.885,0
2026-05-01 10:19:00+00:00,4650.955,4654.905,4648.958,4654.385,0
2026-05-01 10:20:00+00:00,4654.395,4656.895,4652.135,4656.025,0
2026-05-01 10:21:00+00:00,4655.795,4655.905,4653.915,4654.205,0
2026-05-01 10:22:00+00:00,4654.215,4657.925,4653.325,4655.555,0
2026-05-01 10:23:00+00:00,4655.535,4655.555,4651.945,4652.425,0
2026-05-01 10:24:00+00:00,4652.395,4652.465,4648.965,4649.275,0
2026-05-01 10:25:00+00:00,4649.215,4650.005,4646.015,4646.825,0
2026-05-01 10:26:00+00:00,4646.805,4648.495,4644.335,4645.915,0
2026-05-01 10:27:00+00:00,4645.995,4649.695,4644.685,4649.635,0
2026-05-01 10:28:00+00:00,4649.715,4651.355,4649.695,4649.735,0
2026-05-01 10:29:00+00:00,4649.885,4649.885,4643.635,4644.335,0
2026-05-01 10:30:00+00:00,4644.355,4644.675,4641.435,4641.525,0
2026-05-01 10:31:00+00:00,4641.495,4642.895,4639.365,4642.885,0
2026-05-01 10:32:00+00:00,4643.035,4646.145,4642.895,4643.525,0
2026-05-01 10:33:00+00:00,4643.535,4645.575,4642.725,4642.835,0
2026-05-01 10:34:00+00:00,4642.895,4643.535,4640.555,4643.045,0
2026-05-01 10:35:00+00:00,4643.005,4643.175,4638.965,4638.965,0
2026-05-01 10:36:00+00:00,4638.915,4638.965,4635.655,4637.675,0
2026-05-01 10:37:00+00:00,4637.845,4639.585,4636.885,4637.535,0
2026-05-01 10:38:00+00:00,4637.525,4639.875,4636.115,4639.875,0
2026-05-01 10:39:00+00:00,4639.795,4642.325,4638.185,4638.405,0
2026-05-01 10:40:00+00:00,4638.675,4639.398,4634.515,4636.215,0
2026-05-01 10:41:00+00:00,4636.195,4636.195,4631.955,4632.425,0
2026-05-01 10:42:00+00:00,4632.525,4635.175,4630.305,4634.995,0
2026-05-01 10:43:00+00:00,4634.945,4639.545,4634.855,4638.825,0
2026-05-01 10:44:00+00:00,4638.835,4638.875,4632.395,4632.965,0
2026-05-01 10:45:00+00:00,4632.985,4633.235,4630.275,4632.775,0
2026-05-01 10:46:00+00:00,4632.765,4634.935,4631.165,4631.195,0
2026-05-01 10:47:00+00:00,4631.145,4631.825,4628.885,4630.025,0
2026-05-01 10:48:00+00:00,4630.015,4632.195,4629.058,4631.995,0
2026-05-01 10:49:00+00:00,4632.045,4632.215,4630.615,4630.725,0
2026-05-01 10:50:00+00:00,4630.805,4630.875,4627.095,4630.445,0
2026-05-01 10:51:00+00:00,4630.455,4633.525,4628.425,4632.605,0
2026-05-01 10:52:00+00:00,4632.615,4633.865,4631.365,4632.725,0
2026-05-01 10:53:00+00:00,4632.745,4633.145,4630.345,4631.395,0
2026-05-01 10:54:00+00:00,4631.435,4633.065,4630.515,4630.695,0
2026-05-01 10:55:00+00:00,4630.665,4633.605,4630.385,4632.845,0
2026-05-01 10:56:00+00:00,4632.815,4635.225,4632.815,4633.245,0
2026-05-01 10:57:00+00:00,4633.615,4633.645,4631.475,4632.885,0
2026-05-01 10:58:00+00:00,4632.895,4633.305,4629.855,4631.435,0
2026-05-01 10:59:00+00:00,4631.235,4632.695,4631.125,4631.925,0
2026-05-01 11:00:00+00:00,4631.965,4633.245,4630.055,4631.185,0
2026-05-01 11:01:00+00:00,4631.185,4631.415,4628.818,4629.925,0
2026-05-01 11:02:00+00:00,4629.905,4630.045,4624.565,4626.435,0
2026-05-01 11:03:00+00:00,4626.415,4627.965,4624.935,4627.675,0
2026-05-01 11:04:00+00:00,4627.625,4628.385,4625.375,4626.395,0
2026-05-01 11:05:00+00:00,4626.545,4626.745,4621.645,4623.955,0
2026-05-01 11:06:00+00:00,4623.955,4625.595,4621.155,4625.515,0
2026-05-01 11:07:00+00:00,4625.345,4625.345,4618.785,4621.695,0
2026-05-01 11:08:00+00:00,4621.545,4626.495,4621.455,4626.215,0
2026-05-01 11:09:00+00:00,4626.245,4627.965,4624.445,4626.355,0
2026-05-01 11:10:00+00:00,4626.535,4627.485,4623.635,4624.255,0
2026-05-01 11:11:00+00:00,4624.195,4626.645,4624.005,4626.585,0
2026-05-01 11:12:00+00:00,4626.635,4631.565,4626.635,4630.895,0
2026-05-01 11:13:00+00:00,4630.885,4633.165,4630.205,4632.735,0
2026-05-01 11:14:00+00:00,4632.825,4636.535,4632.048,4636.535,0
2026-05-01 11:15:00+00:00,4636.445,4639.265,4635.155,4637.945,0
2026-05-01 11:16:00+00:00,4637.975,4639.285,4636.105,4636.975,0
2026-05-01 11:17:00+00:00,4637.005,4637.865,4635.285,4637.695,0
2026-05-01 11:18:00+00:00,4637.695,4639.425,4636.915,4638.915,0
2026-05-01 11:19:00+00:00,4638.835,4640.195,4638.525,4639.215,0
2026-05-01 11:20:00+00:00,4639.185,4640.505,4638.665,4638.695,0
2026-05-01 11:21:00+00:00,4638.715,4639.545,4637.165,4637.595,0
2026-05-01 11:22:00+00:00,4637.575,4638.055,4635.325,4635.855,0
2026-05-01 11:23:00+00:00,4635.845,4636.785,4634.735,4636.225,0
2026-05-01 11:24:00+00:00,4636.255,4636.985,4635.435,4635.765,0
2026-05-01 11:25:00+00:00,4635.735,4636.575,4635.305,4635.445,0
2026-05-01 11:26:00+00:00,4635.445,4635.765,4634.545,4635.205,0
2026-05-01 11:27:00+00:00,4634.995,4636.905,4634.675,4636.595,0
2026-05-01 11:28:00+00:00,4636.585,4636.735,4633.935,4634.035,0
2026-05-01 11:29:00+00:00,4634.195,4636.395,4634.015,4636.065,0
2026-05-01 11:30:00+00:00,4636.115,4639.105,4636.115,4637.875,0
2026-05-01 11:31:00+00:00,4637.895,4641.095,4637.675,4639.445,0
2026-05-01 11:32:00+00:00,4639.425,4640.045,4637.405,4638.315,0
2026-05-01 11:33:00+00:00,4638.565,4639.675,4638.335,4638.615,0
2026-05-01 11:34:00+00:00,4638.565,4638.785,4636.975,4637.815,0
2026-05-01 11:35:00+00:00,4637.895,4637.925,4636.205,4637.135,0
2026-05-01 11:36:00+00:00,4637.145,4639.645,4636.425,4638.545,0
2026-05-01 11:37:00+00:00,4638.565,4640.145,4635.305,4639.515,0
2026-05-01 11:38:00+00:00,4639.305,4642.145,4638.615,4641.905,0
2026-05-01 11:39:00+00:00,4641.925,4642.615,4640.935,4640.935,0
2026-05-01 11:40:00+00:00,4640.955,4643.475,4640.505,4643.115,0
2026-05-01 11:41:00+00:00,4643.145,4643.985,4642.255,4643.575,0
2026-05-01 11:42:00+00:00,4643.485,4644.435,4643.045,4643.715,0
2026-05-01 11:43:00+00:00,4643.695,4643.965,4642.345,4642.965,0
2026-05-01 11:44:00+00:00,4642.985,4644.535,4642.915,4643.445,0
2026-05-01 11:45:00+00:00,4643.485,4644.405,4643.075,4643.075,0
2026-05-01 11:46:00+00:00,4643.095,4646.445,4643.095,4646.215,0
2026-05-01 11:47:00+00:00,4646.205,4647.905,4644.495,4645.395,0
2026-05-01 11:48:00+00:00,4645.395,4646.075,4644.765,4645.585,0
2026-05-01 11:49:00+00:00,4645.555,4645.745,4643.755,4644.215,0
2026-05-01 11:50:00+00:00,4644.235,4645.205,4632.768,4642.325,0
2026-05-01 11:51:00+00:00,4642.315,4644.005,4640.455,4642.215,0
2026-05-01 11:52:00+00:00,4642.125,4644.295,4640.915,4644.235,0
2026-05-01 11:53:00+00:00,4644.205,4644.935,4642.535,4644.515,0
2026-05-01 11:54:00+00:00,4644.465,4646.655,4644.315,4645.545,0
2026-05-01 11:55:00+00:00,4645.605,4645.765,4643.195,4644.765,0
2026-05-01 11:56:00+00:00,4644.765,4645.845,4644.475,4645.845,0
2026-05-01 11:57:00+00:00,4645.845,4646.085,4642.855,4642.975,0
2026-05-01 11:58:00+00:00,4642.915,4643.985,4642.225,4643.345,0
2026-05-01 11:59:00+00:00,4643.385,4644.435,4642.475,4643.055,0
2026-05-01 12:00:00+00:00,4642.985,4644.425,4641.325,4642.045,0
2026-05-01 12:01:00+00:00,4642.135,4645.315,4642.135,4643.775,0
2026-05-01 12:02:00+00:00,4643.795,4645.305,4643.585,4644.325,0
2026-05-01 12:03:00+00:00,4644.335,4645.215,4644.055,4644.475,0
2026-05-01 12:04:00+00:00,4644.495,4644.855,4642.995,4643.705,0
2026-05-01 12:05:00+00:00,4643.665,4645.205,4643.325,4644.315,0
2026-05-01 12:06:00+00:00,4644.335,4644.335,4641.835,4642.155,0
2026-05-01 12:07:00+00:00,4642.155,4642.315,4640.175,4640.375,0
2026-05-01 12:08:00+00:00,4640.365,4642.005,4640.365,4641.535,0
2026-05-01 12:09:00+00:00,4641.535,4642.315,4639.085,4639.085,0
2026-05-01 12:10:00+00:00,4639.055,4639.955,4637.945,4638.975,0
2026-05-01 12:11:00+00:00,4638.985,4640.125,4638.605,4639.555,0
2026-05-01 12:12:00+00:00,4639.595,4642.785,4639.535,4642.275,0
2026-05-01 12:13:00+00:00,4642.295,4642.665,4641.955,4642.515,0
2026-05-01 12:14:00+00:00,4642.535,4643.565,4642.285,4642.615,0
2026-05-01 12:15:00+00:00,4642.565,4646.245,4642.565,4646.165,0
2026-05-01 12:16:00+00:00,4646.185,4647.845,4645.145,4647.845,0
2026-05-01 12:17:00+00:00,4648.005,4649.795,4648.005,4648.875,0
2026-05-01 12:18:00+00:00,4648.835,4649.085,4646.325,4646.395,0
2026-05-01 12:19:00+00:00,4646.395,4647.135,4645.935,4646.895,0
2026-05-01 12:20:00+00:00,4646.895,4647.185,4645.985,4646.735,0
2026-05-01 12:21:00+00:00,4646.665,4648.575,4646.365,4648.405,0
2026-05-01 12:22:00+00:00,4648.375,4648.765,4648.305,4648.495,0
2026-05-01 12:23:00+00:00,4648.255,4649.645,4640.475,4641.735,0
2026-05-01 12:24:00+00:00,4642.015,4644.465,4638.948,4643.415,0
2026-05-01 12:25:00+00:00,4643.395,4643.425,4637.775,4638.985,0
2026-05-01 12:26:00+00:00,4639.005,4640.905,4637.675,4638.775,0
2026-05-01 12:27:00+00:00,4638.805,4640.975,4638.435,4640.595,0
2026-05-01 12:28:00+00:00,4640.615,4640.995,4638.335,4640.995,0
2026-05-01 12:29:00+00:00,4640.965,4641.015,4637.625,4637.705,0
2026-05-01 12:30:00+00:00,4637.755,4640.295,4636.045,4639.435,0
2026-05-01 12:31:00+00:00,4639.315,4639.455,4636.905,4638.475,0
2026-05-01 12:32:00+00:00,4638.445,4638.665,4636.165,4637.215,0
2026-05-01 12:33:00+00:00,4637.195,4637.465,4634.955,4635.615,0
2026-05-01 12:34:00+00:00,4635.585,4637.325,4634.705,4636.925,0
2026-05-01 12:35:00+00:00,4636.885,4637.625,4634.425,4634.805,0
2026-05-01 12:36:00+00:00,4634.735,4635.835,4633.825,4635.455,0
2026-05-01 12:37:00+00:00,4635.475,4636.635,4635.005,4636.565,0
2026-05-01 12:38:00+00:00,4636.645,4639.115,4636.325,4638.375,0
2026-05-01 12:39:00+00:00,4638.365,4640.515,4637.315,4640.315,0
2026-05-01 12:40:00+00:00,4640.185,4640.775,4637.335,4637.625,0
2026-05-01 12:41:00+00:00,4637.595,4641.098,4637.565,4640.765,0
2026-05-01 12:42:00+00:00,4640.795,4640.835,4638.445,4639.555,0
2026-05-01 12:43:00+00:00,4639.585,4640.455,4638.915,4640.455,0
2026-05-01 12:44:00+00:00,4640.455,4640.535,4638.435,4638.745,0
2026-05-01 12:45:00+00:00,4638.548,4638.565,4637.105,4638.225,0
2026-05-01 12:46:00+00:00,4638.315,4638.495,4636.885,4637.075,0
2026-05-01 12:47:00+00:00,4637.105,4638.165,4637.015,4638.155,0
2026-05-01 12:48:00+00:00,4638.135,4639.675,4638.135,4638.955,0
2026-05-01 12:49:00+00:00,4638.965,4640.085,4637.865,4640.065,0
2026-05-01 12:50:00+00:00,4639.758,4639.758,4636.415,4637.725,0
2026-05-01 12:51:00+00:00,4637.735,4638.995,4637.715,4637.835,0
2026-05-01 12:52:00+00:00,4637.865,4638.195,4637.075,4638.165,0
2026-05-01 12:53:00+00:00,4638.345,4640.645,4638.205,4640.295,0
2026-05-01 12:54:00+00:00,4640.385,4642.665,4640.385,4640.895,0
2026-05-01 12:55:00+00:00,4640.895,4642.575,4640.795,4642.185,0
2026-05-01 12:56:00+00:00,4642.205,4642.235,4640.575,4641.035,0
2026-05-01 12:57:00+00:00,4641.025,4641.695,4640.325,4640.395,0
2026-05-01 12:58:00+00:00,4640.425,4641.945,4640.195,4641.685,0
2026-05-01 12:59:00+00:00,4641.685,4641.975,4638.285,4638.605,0
2026-05-01 13:00:00+00:00,4638.575,4641.415,4638.295,4641.248,0
2026-05-01 13:01:00+00:00,4641.405,4642.375,4640.605,4640.975,0
2026-05-01 13:02:00+00:00,4641.005,4642.315,4639.425,4642.305,0
2026-05-01 13:03:00+00:00,4642.275,4642.415,4639.485,4639.685,0
2026-05-01 13:04:00+00:00,4639.705,4639.725,4638.415,4638.465,0
2026-05-01 13:05:00+00:00,4638.465,4638.885,4637.555,4638.755,0
2026-05-01 13:06:00+00:00,4638.775,4640.085,4638.775,4639.205,0
2026-05-01 13:07:00+00:00,4639.135,4640.025,4638.725,4638.835,0
2026-05-01 13:08:00+00:00,4638.885,4639.325,4637.415,4638.485,0
2026-05-01 13:09:00+00:00,4638.435,4639.395,4637.345,4638.755,0
2026-05-01 13:10:00+00:00,4638.755,4639.325,4637.955,4638.215,0
2026-05-01 13:11:00+00:00,4638.275,4638.725,4637.985,4638.365,0
2026-05-01 13:12:00+00:00,4638.355,4638.875,4637.935,4638.835,0
2026-05-01 13:13:00+00:00,4638.775,4638.835,4637.945,4638.285,0
2026-05-01 13:14:00+00:00,4638.375,4639.795,4638.185,4639.705,0
2026-05-01 13:15:00+00:00,4639.685,4639.998,4638.925,4639.175,0
2026-05-01 13:16:00+00:00,4638.905,4639.635,4638.905,4639.565,0
2026-05-01 13:17:00+00:00,4639.505,4639.505,4636.635,4637.425,0
2026-05-01 13:18:00+00:00,4637.445,4638.705,4637.015,4638.425,0
2026-05-01 13:19:00+00:00,4638.535,4638.815,4637.725,4638.335,0
2026-05-01 13:20:00+00:00,4638.315,4638.755,4637.285,4637.855,0
2026-05-01 13:21:00+00:00,4637.825,4638.115,4637.085,4637.615,0
2026-05-01 13:22:00+00:00,4637.595,4637.705,4635.255,4635.415,0
2026-05-01 13:23:00+00:00,4635.395,4635.865,4634.625,4635.245,0
2026-05-01 13:24:00+00:00,4635.245,4635.265,4634.155,4634.935,0
2026-05-01 13:25:00+00:00,4634.945,4635.155,4634.185,4634.895,0
2026-05-01 13:26:00+00:00,4634.805,4636.435,4634.448,4635.215,0
2026-05-01 13:27:00+00:00,4635.165,4636.055,4634.985,4635.245,0
2026-05-01 13:28:00+00:00,4635.305,4636.265,4635.165,4635.165,0
2026-05-01 13:29:00+00:00,4635.145,4635.335,4630.755,4631.535,0
2026-05-01 13:30:00+00:00,4631.495,4631.765,4629.985,4630.385,0
2026-05-01 13:31:00+00:00,4630.425,4630.875,4628.405,4628.675,0
